description,category
Review the progress from the last meeting and action points for the next period. On a large and mature project it might be possible to do this by exception.,action point
Stay focused on discussing progress updates  assigning action points or revising the schedule where necessary. Do not deal with any unrelated issues – defer them instead to another meeting.,decision
Nobody wants to sit in a meeting listening to one person dominating the conversation so limit the time any one person is allowed to speak by moving the meeting along to the next topic.,key point
Nothing will be achieved if people are not engaging in the meeting so keep meetings to an hour or less to avoid boredom setting in.,decision
Assign follow-up action points specifically to an individual with an expected completion date. Whoever is recording the meeting minutes should also create an action point plan.,action point
At the end of the progress meeting summarise what has been discussed  what action points have been assigned  and to whom  and set a date for the next progress meeting.,decision
Following these simple steps will ensure your meetings achieve something and are a good use of everyone\'s time,decision
Regular Team Meetings are the most frequent meetings that can be organized and conducted many times during the course of the project implementation process. Regular (daily  weekly  monthly) meetings are scheduled and itemized in the communication management plan.,decision
Change Control Meetings are organized by a change control board and intended for reviewing change requests. The board makes decisions about approving all the changes occurred and communicating with stakeholders for information and follow-up action points.,decision
Status Review Meetings are organized on a regular basis to exchange and analyze information on current progress of the project and its performance. During such a meeting  the project manager distributes performance reports among the participants to allow the team and stakeholders to gain visibility into current performance levels and task progress. Status review meetings are also known as performance reviews.,decision
Establish the management framework  including key point phases  objectives  stakeholders  success criteria  business need  deliverables etc.,action point
Review and update (if needed) the business case.,action point
Make the governance structure  including management responsibilities and roles  reporting procedures  controls  governance documentation etc.,action point
 Initiate planning activities  including key point milestones  sequence of tasks  prioritization  task dependencies etc.,action point
 Build the team.,action point
Create the quality management plan  including quality control and assurance procedures.,action point
 Set Objectives. This project meeting tip assumes that if you do not set clear meeting objectives  the meeting is doomed to fail because it gives no results  and no solution will be generated. Before deciding on scheduling a meeting date  make sure you have set a series of SMART objectives. SMART means Specific  Measurable  Achievable  Relevant and Timely.,action point
Write a Meeting Agenda. Developing and following an agenda allows you to make the status meeting shorter yet more effective. You get more chances to finish the meeting with expected results and in a timely manner. You’ll need to produce an agenda decision-action point days before the start date and include a list of events that are scheduled and prioritized. Meeting scheduling software will help do so.,action point
Keep Documents Organized. That means you need to make the meeting documents as shorter as possible. When you use piles of paper to hold the meeting  you were likely to fail because multiple documents can de-motivate and mislead your team and cause a mess. That’s why you should try to keep key point or decision sheets of paper to maintain the meeting. Also it’s recommended to use a review meeting template that includes general items of your agenda and describes what issues are to be addressed.,decision
 Invite the Right People. Members of your team are obviously the major attendees of your project management meeting. However  from time to time some meetings require someone from the seniors. Following this project meeting planning tip  you should know in advance if the participation of senior management is required and then make sure that every person concerned is notified of the upcoming meeting and the problems to be addressed. For convenience  you can use meeting planning software to make notes in your to-do list and agenda.,action point
Create an Appropriate and Comfortable Physical Environment. Note that your project meeting should be conducted in a comfortable and well-ventilated room  especially if it’s summertime. Do not forget to give your participants ice cold water  tea  coffee or/and some non-alcoholic beverages that make your listeners feel more comfortable. Following this meeting planning tip  you should add records to your to-do list and create a list of all the beverages to be prepared in advance prior to the meeting start.,action point
Start and Finish the Meeting on Time. People do not like if an event goes out of schedule  and probably there is no anything more frustrating than late meetings. This project meeting tip says that you should make sure every attendee is aware of the start and finish time. It’s recommended to send (either oral or written) notifications to the attendees. Also you can use your meeting planning software to set email reminders and send electronic notification,decision
Prepare your meetings by sending an agenda for review beforehand.,decision
Attach and share relevant documents  such as the agenda or meeting Minutes.,action point
Allocate work duties directly during the meeting using boards.,action point
I agree with Mark. The correct approach is to send out the tools to our partners before making it public to everyone.,decision
In my opinion  I think we should introduce our new line of printers in August. Many companies get more funding at this time  and students are school shopping. Our target market will be more responsive to our ads during this time period.,decision
I think we can go either way. I believe both solutions will take care of it.,decision
I didn\'t understand why we are going to be late. I thought we had everything planned out early. What were the reasons again,action point
Can you elaborate on how this process can help the sales department,key point
Can you clarify the second step in your solution proposal? I do not understand why it is necessary,key point
I have a question. Why is marketing not handling the portion on end user analysis? They usually did this work in the past.,key point
How will the new addition to our project affect the deadline that we have,key point
are we making sure to incorporate user feedback on the changes we are making,decision
What did you think about my presentation,decision
Did you think the meeting went ok,decision
Can you provide feedback on the meeting we just had,action point
Did you find the meeting useful,decision
Did the meeting help to clarify the current situation,decision
Is there any part of our discussion during the meeting that you are still unsure about,decision
I thought the presentation went well. You provided great information and I think everyone was impressed.",decision
The meeting went well. We covered a lot of information and made some important decisions.,decision
The whole presentation went pretty well  but next time I would recommend that you talk a little slower. When we were running out of time  you started speaking too fast and it was hard to keep up.,decision
Most of the time  our weekly meeting is pretty dull  but today was quite useful.,key point
I understand what is happening to our project now  but I am still unclear about exactly who is affected by this change,key point
I have to go. I have a meeting I am late for.,decision
I have to go to a meeting now. I\'ll talk to you later.,decision
I forgot about my key point:00 meeting. I do not have much time for lunch.,decision
I\'ll finish the feedback form after my meeting.,decision
I\'ll be in meetings all day today.,decision
I have five meetings today  so I won\'t have time to help you with this now. Let\'s set up a time for tomorrow.,decision
The meeting went an hour over.,key point
The meeting was canceled.,key point
The meeting started key point5 minutes late.,key point
George didn\'t arrive to the meeting on time.,key point
We finished late because John had problems with his computer during the presentation portion of the meeting.,key point
Are you going to the company meeting next week,action point
Can you set up a meeting for our brainstorm session,action point
My calendar looks pretty clear on Thursday. Set up a meeting for that day,action point
If you have a close friend in the office  then you can speak more candidly. Here are some general statements you can make about meetings. But be careful who you say them to.,decision
I hate meetings. I think they are a waste of time. I am an engineer  not a planner.,key point
I do not know why I have to go to those meetings. I never learn anything from them and I never say a thing.,decision
I can\'t believe our weekly meeting is at six o\'clock in the morning. I hate waking up that early,decision
If I skip that meeting  I wonder if anyone will notice,decision
That meeting was hilarious. I can\'t believe the manager forgot John\'s name.,key point
I get so sleepy at meetings.,key point
I almost fell asleep during that meeting.,key point
I had a hard time keeping myself from laughing. I saw you falling asleep during the meeting.,key point
Manage and communicate ongoing changes in tasks and goals and or performance,decision
Participate in client meetings and contract finalization and development of requirements and specifications,decision
Manage project budget to reach revenue and cost and profit targets,decision
Assign resources to projects and project objectives and monitor progress,decision
Develop project plans and facilitate resolution of all issues to reach project goals,decision
Clarifying project goals,action point
Defining project objectives  scope and boundaries,action point
Estimating time and resources,action point
Creating powerful team dynamics,action point
Managing process stages with confidence,action point
Raise the flag: to bring something to others attention Example: We fixed a software bug that would make us vulnerable to hacker attacks. Thanks to John for raining the flag  after he reviewed the code.,action point
Raise the alarm : Same as raise the flag; to bring something to others attention Example: She noticed a sharp increase in the number of back logged orders and raised the alarm. It turned out that we were out of our best selling item.,action point
Additional features added to a product or service Example: Our senior product manger was against adding extra bells and whistles to our new product because he believed that a simpler design would be more attractive.,decision
Being aligned : Being on the same page; having the same understanding Example: We are going to have a strategy meeting to make sure that everybody is aligned as to what our top priorities are for the next month.,action point
Get the ball rolling : To kick off a project; to start working on something Example: We have a very short window of opportunity to design and deliver this product. We better get the ball rolling soon.,key point
Back to square one : To restart; to disregard previous plans Example: we were just notified that there was a significant change in product specifications. We are back to square one and we need to re-design everything from scratch.,decision
Back to the drawing board : To re-think an old design or proposal which was unsuccessful Example: The cell phone manufacturing company instructed its engineering team to go back to the drawing board after its competitor launched a much superior product last quarter.,decision
Bake something into the plan : To take into account something when planning Example: We have experienced a sharp increase in the cost of raw materials in the past few months. So  we need to bake this price increase into our financial plan for the next year.,decision
Brainstorm (v.) Meaning: To have a group discussion to produce ideas or solutions Example: We need to brainstorm about new ways of improving our website to make it easier for our users to find information they are looking for.,key point
Build on ideas : To improve upon previous ideas Example: There are many ways we can come up with new features for our product. One way is to take the suggestions we have received from our customers and build on those ideas.,action point
Clock ticking : Running out of time Example: We are getting a lot of complaints from our customers because of our slow shipment process. The clock is ticking on this issue and we need to come up with a solution quickly.,key point
Choke point : A bottleneck; something that blocks the execution of a project Example: For many online businesses  ensuring secure payment transaction points is the main choke point.,key point
Can of worms (n) Meaning: An action point that could lead to a host of other issues Example: She does not deserve a promotion. If we promote her  it will open up a whole can of worms with the other employees.,key point
Cast a wide net : Considering a large number of solutions and options Example: We really need to find strong candidates for this job  so let\'s cast the net wide and get as many resumes in as possible.,key point
Chase one’s own tail : To work ineffectively and aimlessly Example: It seems that we have been chasing our own tail lately. We need to set clear goals and come up with a list of priorities to be more effective.,key point
Cross that bridge when we come to it : Deal with a problem when and if it arises Example: I would like to keep the discussion more high level. Obviously  there are many technical issues that wee need to deal with. We cross that bridge when we come to it.,decision
Dependency : A task that need to be finished before the completion of another Example: This is a very complicated project with many related tasks. We need to understand dependencies between theses task to make sure that we stay on schedule.,decision
Doubling down on a project : To put more effort on a project; to invest more on it Example: Our customers have been very impressed with the new service that we offer. As a result  our CEO has decided to double down on the project by expanding the team.,action point
Drop everything and start doing something : To give higher priority to a project Example: Our VP is going to make a presentation in front of the board and need these slides today. You should drop everything and start working on the deck.,decision
Direction : Guidance or advice offered by mangers to their subordinates Example: This project has been very confusing from the beginning. We have received very little direction as to how we need to progress.,key point
Define roles : To determine tasks assigned to each team member Example: We need to meet with our VP of engineering to define roles and set milestones for the next quarter.,key point
Deprioritize : To give a lower priority to a task or project Example: The deadline for launching the new website was pushed out to next month. Let us deprioritize the website design and focus on other projects.,action point
Push out the deadline : To change the deadline for a later date Example: We were so relieved to hear that the deadline was pushed out because we were totally not ready for the launch of the new product.,action point
Escalate : To report an issue to upper management Example: After several unsuccessful meetings  we could not get the finance department to approve our request for buying new equipment  so we decided to escalate the issue to upper management.,decision
Explore all avenues : Consider all available options Example: We want to make sure that we come up with the investment we need for expansion and we are going to explore all avenues in order to achieve this.,decision
Execute properly/poorly (v.) Meaning: Making sufficient/insufficient progress Example: Our VP was not very impressed that our sales team executed so poorly  so she decided to send the entire team for a sales training boot camp.,decision
Err on the side of caution : Act more carefully and take no risk Example: Our hedge fund is a very conservative firm and we always err on the side of caution when we make our investment decisions.,key point
Fall into the trap of : To make a wrong decision Example: We want to make sure that we do not fall into the trap of losing our competitive advantage by offering low quality products.,action point
From the ground up: From scratch; from zero Example: Our CEO is a very passionate man and he loves the company. After all  he built this firm from ground up by himself.,key point
Fast track something : To give higher priority to a project Example: The marketing department is going to launch an important campaign next week. Let us make sure that we fast track their requests.,key point
Fight a losing battle : Making a desperate attempt Example: We need to re-write the entire software program because it has too many bugs. Trying to fix the exciting code is a like fighting a losing battle.,decision
Fight an uphill battle : To face a tough competition Example: Our company is fighting an uphill battle because our competitor has more money and invests more aggressively in research and development.,decision
The new project members develop as a team.,key point
Me and as the project manager identify weaknesses early enough to make corrections.,key point
Me and as the project manager  reinforce key point points and provide early coaching.,key point
Detail project review: I walk through each of the tasks due to be completed within the next two to four weeks to determine the status of each. If I do not know  I find out  especially if it is a critical part of the project and affects other tasks. A detail walk-through will always generate questions or provide insight on the project’s pressure points that you’ll need to cover in the status meeting.,action point
Identify the bottlenecks: Part of my role is to be able to identify the project’s bottlenecks and develop options to eliminate them. Remember that when you clear a bottleneck  other issues will become the project’s new bottlenecks.,action point
Prepare a list of key point points: I go into the meeting with a list of key point points to discuss with the entire team or an individual. Lead by example. Your preparedness transfers over to the team and will reinforce the need for each member to be prepared for status meetings,action point
Start meetings on time.,key point
Know where the project pressure points are.,key point
Always know where the current bottlenecks are and how to clear them.,key point
If comments in the meeting indicate smoke it usually means there’s fire.,key point
Use status meetings to help reinforce accountability.,key point
Critique the team as a whole. Reinforce individual team members in the meeting  but critique individuals in separate sessions.,key point
Keep meetings to one hour or less.,key point
Use separate sessions to solve big issues.,key point
Be aware of the team’s productivity and time. Cover issues that aren’t important for the entire team in separate sessions with those who need to be involved.,key point
Is this project performing well,decision
Will the successful delivery of this project produce the expected benefits,decision
Will any other projects have an adverse impact on this project,decision
Let our advance worrying become advance thinking and planning.,key point
It\'s a bad plan that admits of no modification. ,key point
Plans are worthless. Planning is essential. ,key point
Expect the best  plan for the worst  and prepare to be surprised. ,key point
Plans are only good intentions unless they immediately degenerate into hard work. ~ Peter Drucker ,key point
A good plan today is better than a perfect plan tomorrow. ,key point
First  have a definite  clear practical ideal; a goal  an objective. Second  have the necessary means to achieve your ends; wisdom  money  materials  and methods. Third  adjust all your means to that end. ,key point
Those who plan do better than those who do not plan even though they rarely stick to their plan. ,key point
If you do not know where you are going. How can you expect to get there?,key point
A good plan can help with risk analyses but it will never guarantee the smooth running of the project. ,key point
Management is doing things right; leadership is doing the right things.,key point
One of the true tests of leadership is the ability to recognize a problem before it becomes an emergency. ,key point
The only real training for leadership is leadership. ,key point
The key point to successful leadership today is influence not authority.,key point
If your action points inspire others to dream more  learn more  do more and become more  you are a leader. ,key point
Leadership is the art of getting someone else to do something you want done because he wants to do it. ,key point
Inventories can be managed but people must be lead. ,key point
Effective leaders help others to understand the necessity of change and to accept a common vision of the desired outcome. ,key point
People buy into the leader before they buy into the vision. ,key point
Get the right people. Then no matter what all else you might do wrong after that  the people will save you. That’s what management is all about. ,key point
Management must manage! ~ Harold Geneen ,key point
Management is  above all  a practice where art  science  and craft meet. ,key point
It is change  continuing change  inevitable change  that is the dominant factor in society today. No sensible decision can be made any longer without taking into account not only the world as it is  but the world as it will be. ,key point
Change is not made without inconvenience  even from worse to better.,key point
It is always easier to talk about change than to make it. ,key point
It must be considered that there is nothing more difficult to carry out nor more doubtful of success nor more dangerous to handle than to initiate a new order of things. ~ Machiavelli,key point
The reasonable man adapts himself to the world; the unreasonable one persists in trying to adapt the world to himself. Therefore  all progress depends on the unreasonable man.,key point
There is nothing permanent except change. ,key point
The single biggest problem in communication is the illusion that it has taken place. ,key point
The most important thing in communication is hearing what isn\'t said,key point
Brevity is the soul of wit.,key point
Communication is a skill that you can learn. It\'s like riding a bicycle or typing. If you\'re willing to work at it  you can rapidly improve the quality of every part of your life. ,key point
To effectively communicate  we must realize that we are all different in the way we perceive the world and use this understanding as a guide to our communication with others. ,key point
My belief is that communication is the best way to create strong relationships. ,key point
The major reason for setting a goal is for what it makes of you to accomplish it. What it makes of you will always be the far greater value than what you get.,key point
Goals are dreams with deadlines. ~ Diana Scharf ,key point
Vision without action point is a dream. action point without vision is simply passing the time. action point with Vision is making a positive difference.,key point
He who has a ‘why’ to live for can bear with almost any ‘how’.,key point
I feel that the most important requirement in success is learning to overcome failure. You must learn to tolerate it  but never accept it.,key point
Failure is simply the opportunity to begin again  this time more intelligently.,key point
Remember the two benefits of failure. First  if you do fail  you learn what does not work; and second  the failure gives you the opportunity to try a new approach.,key point
The greatest barrier to success is the fear of failure.,key point
There are no failures - just experiences and your reaction points to them. ,key point
Just because something does not do what you planned it to do does not mean it\'s useless.,key point
It\'s fine to celebrate success but it is more important to heed the lessons of failure. ,key point
Far better is it to dare mighty things  to win glorious triumphs  even though checkered by failure... than to rank with those poor spirits who neither enjoy nor suffer much  because they live in a gray twilight that knows not victory nor defeat. ,key point
I have not failed. I\'ve just found key point0 000 ways that won\'t work.,key point
It is impossible to live without failing at something  unless you live so cautiously that you might as well not have lived at all  in which case you have failed by default. ,key point
Ever tried. Ever failed. No matter. Try Again. Fail again. Fail better,key point
Perseverance is failing key point9 times and succeeding the decision0th. ,key point
Better three hours too soon than a minute too late. ,key point
Lost time is never found again.,key point
Time is the most valuable thing a man can spend. ,key point
Time is what we want most  but what we use worst.,key point
You may delay  but time will not. ,key point
Most people spend more time and energy going around problems than in trying to solve them. ,key point
Much may be done in those little shreds and patches of time which every day produces  and which most men throw away. ,key point
Unity is strength... when there is teamwork and collaboration  wonderful things can be achieved.,key point
Talent wins games  but teamwork and intelligence wins championships. ,key point
As you navigate through the rest of your life  be open to collaboration. Other people and other people\'s ideas are often better than your own. Find a group of people who challenge and inspire you  spend a lot of time with them  and it will change your life. ,key point
Collaboration is important not just because it\'s a better way to learn. The spirit of collaboration is penetrating every institution and all of our lives. So learning to collaborate is part of equipping yourself for effectiveness  problem solving  innovation and life-long learning in an ever-changing networked economy. ,key point
Collaboration is the best way to work. It\'s only way to work  really. Everyone\'s there because they have a set of skills to offer across the board. ,key point
irst action point Item from last meeting - Status of this item.,action point
Second action point Item from last meeting - Status of this item.,action point
Third action point Item from last meeting - Status of this item.,action point
action point Item key point - complete the task  sarma and action point0-july.,action point
action point Item decision - AI has to complete  daniel and decisionkey point-feb.,action point
Recognize the importance of accuracy,key point
Perform with a high degree of accuracy,key point
Perform with consistent accuracy,key point
Achieve results with accuracy and precision,key point
Maintain high statistical accuracy,key point
Expect perfection,key point
Strive for perfection,key point
Excel in achieving perfection ,key point
Avoid mistakes and errors,key point
Conform to strict tolerances,key point
Meet precise standards,key point
Meet rigid specifications,key point
Keep accurate records,key point
Maintain accurate documentation,key point
Provide explicit documentation,key point
Meticulous with detail,key point
Excel in detail checking ,key point
Forecast with extreme accuracy,key point
Make accurate predictions about future trends  directions and developments.,key point
Effectively use exception reporting to keep management informed.,decision
Clearly establish administrative rules and regulations,decision
Enumerate and specify procedures for implementing and administering written policies,decision
Develop policies and procedure to improve department.,decision
Improve administrative support systems,decision
Supply necessary support services,decision
Develop successful administrative strategies,decision
Excel in simplifying systems and reducing paperwork,decision
Excel in eliminating unnecessary paperwork,decision
Effectively control paperwork.,decision
Manage paperwork efficiently and effectively,decision
Improve administrative efficiency through the effective use of forms,decision
Establish effective systems for record retention,decision
Keep simple records with little duplication,decision
Effectively handle information overload,decision
Establish effective systems for information retrieval ,decision
Understand and apply basic statistical methods,decision
Make effective use of statistical applications,decision
Use sound statistical control techniques,decision
Properly control the release of proprietary information,decision
Respect confidential information,decision
Maintain complete confidentiality,decision
Keep informed of new technologies in office automation,decision
Utilize improved technology for administrative support,decision
Make effective use of office equipment,decision
Achieve optimal levels of personal performance and accomplishment,decision
Provide strong evidence of specific accomplishments,key point
Produce a tangible  positive impact,decision
Achieve consistently high results,decision
Excel in achieving outstanding project results,decision
Achieve bottom-line results,decision
Achieve lasting results,decision
Exceed the norm,decision
Accomplish more with fewer people,decision
Demonstrate the ability to achieve desire results,decision
Focus on results,decision
Attain results without negative side effects,decision
Attain results through positive action points,decision
Demonstrate a strong power of analytical reasoning ,decision
Display strong analytical qualities ,decision
Demonstrate a strong ability to analyze problems,decision
Very methodical in solving problems,decision
Utilize a variety of analytical techniques to solve problems,decision
Excels in analyzing and adjusting work procedures for maximum efficiency,decision
Thoroughly analyze conditions and reaches independent decisions,decision
Effective in analyzing relevant information,decision
Excel in analytical thinking,decision
Demonstrate a high level of administrative competence.,decision
Constantly examine administrative effectiveness and seeks better procedures,decision
Encourage administrative efficiency and effectiveness,decision
Achieve high administrative output,decision
Avoid burdening management with administrative detail,decision
Effectively use exception reporting to keep management informed.,decision
Recognize the importance of appearance,decision
Present an attractive appearance,decision
Take pride in personal appearance,decision
Display the type of grooming which is neat  attractive and appropriate,decision
Give proper attention to personal hygiene and dress,decision
Dress to convey an appropriate image,decision
Dress consistent with organizational expectation,decision
Conform to proper standards of dress,decision
Wear appropriate clothing and accessories,decision
Dress appropriately for the position,decision
Display good posture,decision
Projects poise and authority,decision
Make positive first impression,decision
Make excellent impression,decision
Project a positive image,decision
Excel in effective and positive communications,decision
Communicate openly  forcefully and effectively,decision
Communicate clearly and concisely,decision
Communicate with credibility and confidence,decision
Communicate high expectations,decision
Improve the effectiveness of communications and interaction points with others,decision
Provide a intellectual atmosphere conducive to the stimulation and interchange of ideas,decision
Excel in communicating with individuals and small groups,decision
Conduct meetings that achieve results,decision
Make a strong impact at meetings,decision
Demonstrate strong committee procedures and techniques,decision
Excel in intercommunications and interaction points,decision
Demonstrate sound negotiating skills,decision
Effectively communicate goals and interplay of ideas and concepts,decision
Effectively communicate management decisions to achieve understanding and acceptance.,decision
Effectively communicate upward  downward and laterally,decision
Communicate effectively both horizontally and vertically,decision
Develops and maintains two-way communications,decision
Keep other departments informed of developments affecting their function,decision
Communicate confidently with superiors  peers and subordinates,decision
Effectively communicate with co-workers,decision
Optimally utilize all channels of communications,decision
Demonstrate good judgement in selecting the proper mode of communication,decision
Know when to cover topics by letter or phone.,decision
Make appropriate use of formal vs. informal communication,decision
Encourage open communication to achieve mutual understandings,decision
Demonstrate an ability to perform and communicate,decision
Competent communicator,decision
Ask penetrating questions,decision
Prevent unproductive responses,decision
Avoid communication breakdowns,decision
Effective explains and interprets organizational policies and procedures,decision
Effectively translates complex information into common terms,decision
Effective organization of ideas for logical presentation and acceptance.,decision
Respond quickly to all oral and written communications,decision
Excel in verbal and no-verbal communications,decision
Use proper oral and written language,decision
Possess a strong vocabulary,decision
Display productive assertiveness,decision
Assertive without being overly aggressive,decision
Convey an impression which reflects favorably upon the public relations of the organization,decision
Excel in dealing with the public,decision
Use communicative skills to bolster the organization’s image,decision
Promote organizational policies  the quality of its products and its reputation,decision
Demonstrate and convey a favorable image of the organization,decision
Demonstrate competent performance,decision
Project a special competence,decision
Demonstrate a high level of expertise,decision
Demonstrate strong personal effectiveness,decision
Demonstrate strong interpersonal competence,decision
Believe in self,decision
Very confidant of abilities,decision
Uses abilities to the fullest ,decision
Maximize personal strengths,decision
Excel in the effective application of skill,decision
Display a high level of technical competence,decision
Effectively blend management skills with technical expertise,decision
Combine technical competence with dependability and loyalty,decision
Demonstrate highly sophisticated skill and strategies,decision
Possess specialized skill,decision
Highly skilled in all phases of job,decision
Excel in operational skills,decision
Display excellent attention to technical skills,decision
Especially effective in the development and use of supportive skill,decision
Uniquely qualified,decision
Effectively capitalizes on strengths,decision
Accentuate strengths,decision
Keep informed of the latest trends and developments,decision
Constantly sharpens and updates skills,decision
Devote appropriate time and effort to the development of professional competence,decision
Attend seminars and workshops to improve job performance,decision
Maximizes the benefits of computer technology,decision
Incorporate the newest computer technologies,decision
Identify computer support requirements,decision
Ensure that computers are used to generate meaningful information and increase efficiency,decision
Encourage employee acceptance and use of computers,decision
Ensure the proper training of computer operators,decision
Utilize the power of computers,decision
Make effective use of computer equipment and facilities,decision
Possess a strong knowledge of computer fundamentals ,decision
Understand computer applications,decision
Computer literate,decision
Keep alert to new computer hardware,decision
Keep abreast of new software applications,decision
Effectively control costs through economical utilization of personnel  materials and equipment,decision
Effectively commit resources of staff  funds and time,decision
Make maximum use of allocated funds,decision
Make realistic budget projections,decision
Give close attention to monitoring budget variances and plans appropriate adjustment,decision
Strive for maximum return on investment,decision
Excel in profit-oriented decisions,decision
Demonstrate a strong ability to strengthen cost-profit ratios,decision
Demonstrate sound cost effectiveness,decision
Develop strong cost control measures to ensure desired results,decision
Maintain effective cost control,decision
Exercise appropriate cost control,decision
Effectively identify areas needing cost reductions,decision
Display sound judgement in managing and controlling expenses,decision
Adhere to sound auditing principals,decision
Plan travel  entertainment and related expenses to achieve essential organizational goals,decision
Adhere closely to organizational policies and procedures when requesting expense reimbursement,decision
Ensure that all expenditures are in the best interest of the organization,decision
Demonstrate success in reducing costs while maintaining high quality,decision
Excel in controlling costs and eliminating waste,decision
Display creative imagination,decision
Display active imagination,decision
Demonstrate imaginative insight,decision
Provide valuable insights,decision
Demonstrate creative strength,decision
Successfully develop creative strategies,decision
Continuously experimenting,decision
Seek creative alternatives,decision
Challenge conventional practices,decision
Consider innovative possibilities,decision
Explore new paths  procedures and approaches,decision
Excels in creative thinking and problem solving,decision
Create satisfying solution in conformance with organizational polices,decision
Develop creative solutions to problems,decision
Demonstrate a high degree of originality and creativity,decision
Originate and develop constructive ideas,decision
Initiate good conceptual ideas with practical applications,decision
Excel in developing spontaneous ideas,decision
Originate unsought ideas,decision
Seek new ideas and approaches,decision
Stimulate ideas,decision
Promote the flow of good ideas,decision
Welcome ideas from subordinates ,decision
Receptive to new ideas,decision
Generate fresh ideas,decision
Initiate fresh ideas,decision
Discover new approaches,decision
Display a sense of inquiry,decision
Maintain a high level of curiosity,decision
Display a strong power of observation,decision
Encourage an environment for creative excellence,decision
Promote an environment conducive to creativity,decision
Tap the creative potential of a group ,decision
Encourage innovation,decision
Promote a creative climate,decision
Create interest,decision
Create opportunities,decision
Makes decisions with confidence,decision
Display firmness in making decision,decision
Can be relied on to make sound decisions,decision
Make inventive and resourceful decisions,decision
Willing to make difficult and unpopular decisions,decision
Assemble all available facts before making decisions,decision
Seek staff input for decision making,decision
Make sound decisions in the absence of detailed instructions,decision
Uses the most penetrating and objective evaluations to arrive at decisions,decision
Weigh alternative decisions before taking action point,decision
Carefully evaluate alternative risks,decision
Practice sound risk taking,decision
Willing to take calculate risks,decision
Eager to take risks,decision
Exercise a wide range of decision making control,decision
Foresee the consequences of decisions,decision
Excel in foreseeing the effects of decisions,decision
Communicate decisions with confidence,decision
Demonstrate and ability to effectively influence key point decision makers,decision
Make sound decisions under pressure,decision
Avoid haste decisions,decision
Concentrate on developing solutions,decision
Excel in seeking solutions,decision
Develop fresh solutions,decision
Excel in suggesting optional solutions,decision
Develop resourceful solution,decision
Support convictions with sufficient force,decision
Strive to improve decisiveness,decision
Encourage decision making at lowest possible level,decision
Delegate to improve organizational effectiveness,action point
Delegate to maximize organizational strengths,action point
Recognize the need to concentrate on people rather than tasks,action point
Recognize the importance of working through subordinates,action point
Encourage delegation,action point
Demonstrate effective delegation techniques,action point
Effectively delegate responsibility,action point
Give subordinates the authority needed to effectively carry out delegated responsibilities,action point
Encourage subordinates to solve their own problems,action point
Delegate with clearly defined responsibility and authority,action point
Provide subordinates with the resources needed to accomplish results,action point
Delegate while maintaining control,action point
Know when and what to delegate,action point
Delegate routine tasks to subordinates,action point
Make effective use of secretarial support,action point
Delegate to the proper person,action point
Effectively delegate unpleasant tasks,action point
Prevent reverse delegation,action point
May be delegated the broadest discretion,action point
Delegate to evaluate employee potential,action point
Effectively assesses delegation capability,action point
Delegate to improve job satisfaction point of subordinates,action point
Delegate to motivate,action point
Delegate to build subordinates,action point
Is consistent  dependable and accurate in carrying out responsibilities to a successful conclusion,action point
Can be relied upon to meet schedules and deadlines,action point
Fully accepts all responsibilities and meets deadlines,action point
Meets logically developed priorities,action point
Achieves result when confronted with major responsibilities and limited resources,action point
Utilizes all available resources to achieve results,action point
Can be counted on to achieve results in emergency situations,action point
Is exceptionally reliable and trustworthy when given an assignment,action point
Uses proven methods and techniques to achieve results,action point
Displays a strong personal commitment to successfully completing all projects,action point
Displays rigid self-discipline,action point
Attains results regardless of task levels,action point
Meets responsibilities promptly,action point
Fulfills all commitments,action point
Meets expectations,action point
Is very dependable and conscientious,action point
Is a strong and reliable member of the department,action point
Is extremely reliable and supportive,action point
Can be relied upon to do the job and any other assigned tasks,action point
Is always fully prepared,action point
Can be relied on to successfully complete all assignments,action point
Consistently punctual,action point
Regular in attendance,action point
Effectively follow up assignments,action point
Excel in selecting and developing individual with high potential talent,action point
Identify staff development needs,action point
Recognize development levels and ability levels of staff…and others,action point
Initiate and establishes personal growth and career path,action point
Excel in developing career development,action point
Plan for future career development and accomplishment,action point
Seek personal growth and development,action point
Understand personal strengths and weaknesses,action point
Successful at demonstrating the ability to develop from a specialist to a generalist,action point
Regularly assess the development and effectiveness of subordinates,action point
Inspire subordinates to achieve their fullest potential,action point
Excel in developing mutual expectations,action point
Encourage broad development of employees,action point
Show genuine interest in employee progress,action point
Effectively tracks employee progress,action point
Deal effectively with different career stages of employees,action point
Excel in tapping hidden talents ,action point
Exploit under-utilized capabilities,action point
Display and ability to turn weaknesses into strengths,action point
Turn potential into action point,action point
Develop subordinates into higher achievers,action point
Cultivate strengths of subordinates,action point
Effectively develops employees,action point
