,price,place,built,sqft,sale,yearsOld,floor,totalFloor,bhk
2577,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
776,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
396,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2944,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
161,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2052,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
2274,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
975,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2254,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
967,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
554,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1794,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
1753,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
830,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
2677,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
1374,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
942,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
1859,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
972,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
67,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
1865,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
1818,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
1078,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
2539,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
2920,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
1957,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
435,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
1566,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
1537,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1687,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
306,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
1784,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
1747,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
2396,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
2070,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
1826,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
722,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2345,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
60,39000000,Frazer Town,Super built-up  Area,4856,Resale,10,3,4,3
208,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
938,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
762,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
758,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
410,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
1650,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
331,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
2515,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
584,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
267,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
1198,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
1088,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
941,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
571,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
249,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
1253,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
525,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2067,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1208,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
981,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1681,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
358,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
2845,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
615,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1872,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
1789,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
2131,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
937,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2174,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2749,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
2000,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
1363,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
1401,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
1884,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
1198,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
1450,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
2239,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
1147,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
2531,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
962,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
698,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
867,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
128,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
863,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
1475,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
1776,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
1324,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
1193,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1891,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
2862,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2377,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
776,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
531,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2585,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
2791,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
1965,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
961,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
525,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
626,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
2684,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
2864,6600000,Gunjur,Super built-up  Area,1356,Resale,5,1,4,1
1076,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2782,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
1688,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
196,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2676,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
1681,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
2929,32500000,Sarakki Nagar,Super built-up  Area,2500,Resale,5,2,5,2
470,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2664,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
1750,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
2371,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
451,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
2761,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
405,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
602,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
148,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
982,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
1760,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
1452,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
800,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
215,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
215,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
1217,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
212,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
364,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
1925,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
1085,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
1290,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
2516,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
1328,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
2863,32500000,Sarakki Nagar,Super built-up  Area,2500,Resale,5,2,5,2
2904,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
2280,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
206,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
892,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
1262,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
318,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
2440,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
1214,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
1411,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
1846,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
1117,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
2598,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
1334,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
127,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
2080,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
2836,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
2028,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
1351,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
495,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
1132,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
2723,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
1787,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
327,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
1727,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
2235,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
1830,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1011,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1291,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
1705,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2516,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
214,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
1700,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
1634,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
1298,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
1382,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2518,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
1257,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
1080,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
1005,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2181,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
678,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
1566,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
1952,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
2470,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
597,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
1402,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2093,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
1401,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
2355,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
313,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
23,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
1391,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
2522,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
1193,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
994,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
2571,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
25,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
715,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1047,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
1981,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
2925,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
602,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2807,29300000,Malleshwaram,Super built-up  Area,2475,Resale,5,15,23,15
2746,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
983,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2294,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
2600,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
2634,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
1078,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
323,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
932,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2455,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
81,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
2566,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
632,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2653,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
937,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
1521,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
722,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
1327,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2854,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
22,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
1623,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
2735,29300000,Malleshwaram,Super built-up  Area,2475,Resale,5,15,23,15
2314,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
1353,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
1464,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2575,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
2304,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
2807,29300000,Malleshwaram,Super built-up  Area,2475,Resale,5,15,23,15
2475,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
590,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
402,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1859,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
1383,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
216,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
1420,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
97,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
2256,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
366,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2093,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
1982,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
1566,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
1166,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
562,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
1792,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
1187,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
1218,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
416,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
2382,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2502,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
2332,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2898,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
1231,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
1341,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
2921,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
1469,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
1862,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
1782,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
227,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
560,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
2265,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2553,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
190,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
2284,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
2253,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
411,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
2183,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
1587,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1991,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1241,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
193,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
700,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
1037,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
2090,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
224,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
1890,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1213,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
901,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
2074,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2757,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2143,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
2350,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
1117,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
983,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
946,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
1027,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
591,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
204,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
588,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
1768,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
564,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
2215,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
887,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
307,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
309,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
497,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
1048,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
689,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2168,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
2555,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
1518,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
2423,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
2660,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
2083,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
819,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
516,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
1140,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
2685,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2537,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
1817,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
5,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
2301,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
1235,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
1908,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2181,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
799,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
33,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
285,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
1983,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
298,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
1224,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
706,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
823,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
1913,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
1692,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
333,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
2749,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
682,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
1989,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
1804,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
135,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
617,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2742,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
967,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
539,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
2753,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
2181,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
108,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1543,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
1399,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
368,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
2817,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
990,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
2026,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
2664,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
51,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2358,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1688,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
377,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
1319,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
1407,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2332,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2836,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
942,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2853,6600000,Gunjur,Super built-up  Area,1356,Resale,5,1,4,1
233,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
5,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
2282,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
306,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2825,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
707,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
421,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
1339,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
1046,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2257,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
